DimId,Dimension,Level,DimName,ParentId
2,Problems,1,Hackerrank Algorithm Score,1
3,Problems,1,Hackerrank Python Score,1
4,Problems,1,Hackerrank Data Structure Score,1
5,Problems,1,Project Euler - Number of problems solved,1
6,Problems,1,Rosalind Info - Number of problems solved,1
7,Problems,1,Attendance,1
